Genotype,Seed_yield_g.plot_2023,Seed_yield_g.plot_2024,Seed_yield_kg.ha_2023,Seed_yield_kg.ha_2024
IG8914,262.7437495,151.9798541,2851.748542,2234.729006
IG9430,192.1483953,178.8370237,2517.933685,1949.277169
IG9630,320.2131563,195.023116,3419.269982,2021.298645
ILC182,270.1776013,186.8951304,2761.931296,2083.098799
ILC263,206.6220222,189.4683983,2188.786342,2003.221056
ILC3279,276.0700512,188.8125552,3056.9705,2166.346883
ILC3397,182.4630845,268.5165716,2521.661485,2446.806733
ILC3805,243.7661506,158.6128741,2504.74018,1997.042432
ILC482,196.9675485,138.4546806,2186.647354,1737.457947
ILC5309,198.4453998,138.1007901,2114.831198,1936.231642
ILC8617,270.0126995,230.7632221,2939.936415,2267.498477
ILWC108,152.1823478,111.1820152,1988.281593,1586.542448
IPOK02-29Shubhraind,182.5051658,179.9103898,2847.930417,2190.028362
K-850,401.4593138,201.9282445,3413.575729,2030.106953
Kalkee,263.0236524,180.4522232,2818.256006,1964.805067
Pbaboundary,199.0930978,196.6005175,2994.151196,2078.278695
Pbahattrick,284.2396899,122.3874998,2708.210016,1549.746825
Pbamonarch,283.4492358,169.199529,2740.812811,1819.279661
Pbapistol,167.7758212,119.4942789,2824.208234,1634.971639
Pbaslasher,219.9182398,107.6240938,2306.911407,1532.347004
Pbastriker,340.4207503,184.7426543,2990.936281,2582.374554
S090406,274.4985548,179.801955,2788.16169,2125.059116
S090510,149.5573085,230.4406494,2606.31942,2264.652279
S091352,348.0789953,127.8924426,3135.754966,1714.046204
S140068,193.1038919,160.0295144,2294.538725,1961.644761
S140070,201.7835042,204.1589163,2357.120936,2091.88806
S140210,351.3460019,155.6670702,3097.675834,1839.241642
S140231,331.8722564,248.2864133,3066.924261,2270.594607
S140367,244.0906754,239.3730658,2463.624707,2270.806183
S140404,350.62,281.1120695,3160.676176,2490.656524
S140497,282.9073781,196.1902475,2876.534186,2585.847517
S140619,249.5988828,202.9294526,3289.919368,2285.350681
S140643,261.6131887,189.8033946,2844.264035,1889.399343
S140673,177.9432728,139.6340705,2897.575834,1893.353895
M-1270,305.5357215,87.98330524,2832.58941,1525.852044
